name;buildingnumber;Lat;Long;Start_date;end_date;shortdescription;description;categories/0;categories/1;categories/2;image;imgURL;thumbnail;parent
Student housing Campuslaan Laag;;52.246213;6.849144;;;At 'Campuslaan Laag' students live in two-storey flats. One group is formed by fourteen tenants, sharing three showers, four...;"At 'Campuslaan Laag' students
live in two-storey flats. One group is formed by fourteen tenants, sharing
three showers, four washbasins and two toilets. The rooms measure from 14 to 17
m2. All groups have their own balcony and, in addition, they share a
terrace with two other groups.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i0a/ccfb6a0103a058a20057164204fe3b0b004caa6e020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i00/e8997d0103a058a20057164204fe3b0b004caa6e020701c1da00da0080.jpg;
Acasa - De Veste;58;52.246139;6.853446;;;De Veste is the on-campus housing provider, offering approximately 300 rooms on the campus. All campus rooms are private, while...;"De Veste is the on-campus
housing provider, offering approximately 300 rooms on the campus. All campus
rooms are private, while bathroom and kitchen facilities are often shared with
other students. All rooms contain a bed (including mattress, sheets, duvet,
duvet cover, pillow, and pillow case), closet, desk and desk light, as well as
a desk chair and waste basket. The kitchen is fully equipped, including
utensils, plates, cookware, and a fridge. Additionally, you'll find a common
laundry area in each building.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i5c/bef01d0103c35ba200c0cf4a04fe3b0b0038fd6a020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie2/588e120103c35ba200c0cf4a04fe3b0b0038fd6a020701c1da00da0080.jpg;poiobject:ECE0F07D03CA3AEF71491B9F61C54518
Dentist;58;52.246139;6.853446;;;Dental practice Huizinga, www.tandartshuizinga.nl, is located at building the 'Sleutel' (no 58).;"Dental practice Huizinga,
www.tandartshuizinga.nl, is located at building the 'Sleutel' (no 58).";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i07/b813be01035058a200ad447c04fe3b0b0048336b020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic7/787caf01035058a200ad447c04fe3b0b0048336b020701c1da00da0080.jpg;poiobject:ECE0F07D03CA3AEF71491B9F61C54518
General Practitioner;58;52.246139;6.853446;;;There is a general practitioner (GP) medical centre on the campus, aimed specifically at students and university staff. You'll...;"There is a general
practitioner (GP) medical centre on the campus, aimed specifically at students
and university staff. You'll find it in building de 'Sleutel' (no 58). More
information: www.campushuisarts.nl";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i32/9e03fc01036258a200aa227c04fe3b0b009e5a6b020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/id0/8d6f6001036258a200aa227c04fe3b0b009e5a6b020701c1da00da0080.jpg;poiobject:ECE0F07D03CA3AEF71491B9F61C54518
Sleutel;58;52.246139;6.853446;;;On the campus, a general practitioner (GP) practice is accommodated in the 'Sleutel' building, intended for students, staff and...;"On the campus, a general
practitioner (GP) practice is accommodated in the 'Sleutel' building, intended
for students, staff and other patients. In the same building you will also find
a dental clinic for staff and students. Furthermore, Acasa (student housing) is
located in the 'Sleutel' building.";Buildings;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i6b/e67b7501035658a200c181b202fe3b0b0061dc6a020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i2a/54cd9d01035658a200c181b202fe3b0b0061dc6a020701c1da00da0080.jpg;
Beach fields;;52.246098;6.849675;;;Since 2009, the campus has a beach field that can be used for beach football and beach volleyball. The field is equiped with...;"Since 2009, the campus has a beach field that can
be used for beach football and beach volleyball. The field is equiped with
sound equipment and artificial lighting. Next to the beach field you'll find a
basketball training field. For more information about the renting
possibilities and costs, please contact the Sport Center by email via sportcentrum@utwente.nl";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i8d/1a39af0103d4066d00db8b1304763b0b00135a3a020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/id2/7d7eea0103d4066d00db8b1304763b0b00135a3a020701c1da00da0080.jpg;
Parking Outdoor Swimmingpool;;52.245984;6.853859;;;;;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i61/2507ea0103b857a2007df47804b13b0b00cef3c7010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i43/74c4930103b857a2007df47804b13b0b00cef3c7010701c1da00da0080.jpg;
Swimming pool - Outdoor;57;52.245815;6.854128;;;Apart from the indoor swimming pool in the sports centre, you'll also find a 25-metre outdoor swimming pool on the campus. This...;"Apart from the indoor swimming
pool in the sports centre, you'll also find a 25-metre outdoor swimming pool on
the campus. This swimming pool is used during summertime. It has a diving
board, a sunbathing area and changing rooms. The swimming pool is used for
swimming competitions, recreational swimming, diving courses, water polo and
underwater hockey.";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i5c/66295401031d066d002acff4037c3b0b00931a02030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i2d/cccd3601031d066d002acff4037c3b0b00931a02030701c1da00da0080.jpg;
Open air theatre;56;52.245664;6.853017;;;This attractive brick open-air theatre is located in the middle of the woods on the campus. In the summer it often boasts a...;"This attractive brick open-air
theatre is located in the middle of the woods on the campus. In the summer it
often boasts a large variety of cultural performances such as films and theatre
performances. Architecture by Piet Blom 





Piet Blom designed the
intimate open-air theatre as part of his Centre Plan. This structure is
reminiscent of a Kasbah, stretching from the Hogekamp to the cinder track and
the sports centre. Blom s Centre Plan was enormous, but in the end only the 'Bastille'
and the open-air theatre were built. The acoustics are fantastic: just stand on
the spot in the middle and clap your hands. ";Culture;Buildings;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic4/cf760001030c046d0094d5f403723b0b003e0ec5030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ib1/fb708f01030c046d0094d5f403723b0b003e0ec5030701c1da00da0080.jpg;
Basketball fields;;52.2455;6.85019;;;These two regulation size basketball courts have a tarmac surface.;"These two regulation size basketball courts have a
tarmac surface.";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i9b/6b205701032d5ea2000f21e902fe3b0b00c5bd58020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i9e/15db8801032d5ea2000f21e902fe3b0b00c5bd58020701c1da00da0080.jpg;
Hockey fields;;52.245408;6.847744;;;This artificial pitch is in use by the Drienerlose Hockey Club. It has artificial lighting and next to the pitch you can find...;"This artificial pitch is in
use by the Drienerlose Hockey Club. It has artificial lighting and next to the
pitch you can find the club canteen, an authentic salt drilling tower, a gift
from AKZO in 1969.";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i85/72915901039c5aa20037fa7c01fe3b0b00118264020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i87/14551601039c5aa20037fa7c01fe3b0b00118264020701c1da00da0080.jpg;
Archery field;;52.245342;6.852089;;;The archery field is a longbow shooting range for distances up to 90 meters.;"The archery field is a longbow shooting range for
distances up to 90 meters.";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ibc/195ed7010369076d001b843904763b0b00a9483e020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i66/3736f5010369076d001b843904763b0b00a9483e020701c1da00da0080.jpg;
Box;53;52.245272;6.850853;;;The Box complex accommodates 160 apartments divided over three floors. All apartments have their own sanitary facilities, as...;"The Box complex accommodates
160 apartments divided over three floors. All apartments have their own
sanitary facilities, as well as a kitchen. The size of the apartments varies
from 30 to 67 m2. The complex has been attractively designed by the
architect and is a striking object on the campus. The complex also accommodates
Fortes Labs, day care facilities for disabled people and a communal space for
tentants.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i33/cf8a520103d8fe6c0091e5f403723b0b0010760b040701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i4e/a8857c0103d8fe6c0091e5f403723b0b0010760b040701c1da00da0080.jpg;
Logica;65;52.244932;6.846299;;;'Logica' is a lodging and meeting accommodation, situated on the border of the campus, surrounded by many sports facilities. It...;"'Logica' is a lodging and
meeting accommodation, situated on the border of the campus, surrounded by many
sports facilities. It is an ideal spot for meetings, courses, training camps and
sports events. The building has a lecture hall for meetings of up to 60 people,
as well as four apartments comprising 24 rooms for single or double use.";Buildings;Hotels;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i9c/e4b0fb0103445da2005fbbd502fe3b0b008e0b68020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i85/9212080103445da2005fbbd502fe3b0b008e0b68020701c1da00da0080.jpg;
Boortoren;52;52.244768;6.848399;;;The 'Toren' is the club symbol of the Drienerlose Hockey Club and is used for convivial evenings after training sessions and...;"The 'Toren' is the club symbol
of the Drienerlose Hockey Club and is used for convivial evenings after
training sessions and matches. In 1969, this authentic derrick was donated by
AKZO. To accommodate the increasing membership, the Drienerlose Hockey Club built
an extension to the 'Toren' in 1989.";Buildings;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i80/561a8b0103c95aa200b124c902fe3b0b00a1a75c020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i70/5339700103c95aa200b124c902fe3b0b00a1a75c020701c1da00da0080.jpg;
Cinder track;;52.244593;6.853023;;;The campus also has a 400-metre cinder track, a running track for athletes. Every year a cheering crowd welcomes the runners of...;"The campus also has a
400-metre cinder track, a running track for athletes. Every year a cheering
crowd welcomes the runners of the Batavians Race, the largest student sports
event of the Netherlands.";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iae/8783fe010335076d00bad22204763b0b00b67643020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i89/293a16010335076d00bad22204763b0b00b67643020701c1da00da0080.jpg;
Tango Dancers;;52.244547;6.851585;;;The work of sculptress and designer Marijke de Goey is rooted in the Dutch tradition of geometric clarity. The primary shapes...;"The work of sculptress and
designer Marijke de Goey is rooted in the Dutch tradition of geometric clarity.
The primary shapes she uses are straight and curved lines, as well as rectangles.
De Goey designs art objects for public spaces, but also makes jewellery. 'Tango
Dancers' was constructed for another courtyard on the campus, but had to move. Here they dance on, in
De Goey's favourite blue. ";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i51/18c31b01030f5da200ad430304fe3b0b00fa6a6f020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i3e/35eb5601030f5da200ad430304fe3b0b00fa6a6f020701c1da00da0080.jpg;
Bus stop UT De Hems;;52.244527;6.849782;;;;;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i7e/49a0ad01037e60a2002a708f04b13b0b002a7cc2010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie2/41bd1f01037e60a2002a708f04b13b0b002a7cc2010701c1da00da0080.jpg;
Woonflatje by Maarten van Wensveen;;52.244403;6.846242;;;This stiffly formal building stands in contrast to the intimate patio complex, and is designed for privacy and the individual....;"This stiffly formal building
stands in contrast to the intimate patio complex, and is designed for privacy
and the individual. The tower stands alone having little or no connection with
the surrounding nature. In the 1960s, when males and females lived separately
on campus, this flat housed males. It was nicknamed the Hunk Bunker: from there
you could see into the 'Logica's' courtyard - a female residence.";Culture;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i6d/e5116a0103db59a200ac881a04fe3b0b0001d374020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i87/903b290103db59a200ac881a04fe3b0b0001d374020701c1da00da0080.jpg;
Company Doctor;61;52.244201;6.849195;;;A HumanCapitalCare branch is located on the campus. HumanCapaitalCare is the company doctor and the occupational health and...;"A HumanCapitalCare branch is
located on the campus. HumanCapaitalCare is the company doctor and the
occupational health and safety service provider of the university. More
information: www.humancapitalcare.nl";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i26/ca6429010359036d0090d7f403723b0b003b51b5030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic2/fe1559010359036d0090d7f403723b0b003b51b5030701c1da00da0080.jpg;poiobject:F42D45BAA04F249EDA23DB3BC6E64025
Linde;61;52.244201;6.849195;;;Building 'Linde' accommodates HumanCapitalCare, an independent, accredited occupational health & safety service. The service...;"Building 'Linde' accommodates HumanCapitalCare,
an independent, accredited occupational health & safety service. The
service provision consists of health management, prevention, sick leave
follow-up, as well as intervention and reintegration.";Buildings;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i26/ca6429010359036d0090d7f403723b0b003b51b5030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ic2/fe1559010359036d0090d7f403723b0b003b51b5030701c1da00da0080.jpg;
Parking Linde building;;52.244158;6.849304;;;;;Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if6/9141650103205aa2008908ab02b13b0b003532c7010701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/if9/e9e6930103205aa2008908ab02b13b0b003532c7010701c1da00da0080.jpg;poiobject:F42D45BAA04F249EDA23DB3BC6E64025
UTrack;;52.244094;6.852508;;;The campus has a 400-metre cinder track, a running track for athletes. Every year, a cheering crowd welcomes the runners of the...;"The campus has a 400-metre
cinder track, a running track for athletes. Every year, a cheering crowd
welcomes the runners of the Batavians Race, the largest student sports event of
the Netherlands, on this cinder track. The Sports facilities 

Since the summer of 2015 the campus accommodates a three lane polytan
PUR synthetic 400m track. The match lines for all regular walking distances and
relays are applied accordingly. ";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i6d/f3454601034a076d00e42927047c3b0b00ba81ff020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i3e/40979501034a076d00e42927047c3b0b00ba81ff020701c1da00da0080.jpg;
Student housing Calslaan Wit;;52.244035;6.849339;;;You'll recognize 'Calslaan Wit' from a distance thanks to the white walls and high windows of the flats. Five or six students...;"You'll recognize 'Calslaan Wit'
from a distance thanks to the white walls and high windows of the flats. Five
or six students live in student communities divided over two floors. Each group
has two showers, washbasins and toilets. The size of the rooms is either 14 or
17 m2.";Housing;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ie5/ad1cc301037f5ba200c3d24804fe3b0b00575d6e020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ia9/6d56ea01037f5ba200c3d24804fe3b0b00575d6e020701c1da00da0080.jpg;
Dietician;49;52.243936;6.851102;;;Do you need help or advice in the field of nutrition and diets? You'll find dietician Marike ten Oever inside the Sports Centre...;"Do you need help or advice in
the field of nutrition and diets? You'll find dietician Marike ten Oever inside
the Sports Centre or the GP medical centre. Please make an appointment in
advance. More information: www.dietist-tenoever.nl";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iec/d31a810103ee046d00e8cbf403723b0b009a8dcd030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i4f/46f5ab0103ee046d00e8cbf403723b0b009a8dcd030701c1da00da0080.jpg;poiobject:C7D7F01306C0F00A1725A20432040531
Physical therapist;49;52.243936;6.851102;;;The practice is located inside the Sports Centre (building no 49). More information: www.topvormtwente.nl;"The practice is located inside
the Sports Centre (building no 49). More information: www.topvormtwente.nl";Facilities;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i24/9114c60103d75da2001a067204fe3b0b0046966d020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/ide/e7a8480103d75da2001a067204fe3b0b0046966d020701c1da00da0080.jpg;poiobject:C7D7F01306C0F00A1725A20432040531
Sports Canteen;49;52.243936;6.851102;;;In the sports canteen you can enjoy a coffee, soft drink or beer, also during the weekends. You'll find the Sports Centre at the...;"In the sports canteen you can
enjoy a coffee, soft drink or beer, also during the weekends. You'll find the
Sports Centre at the heart of the campus.";Food & Drinks;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i83/8781fc0103a35ca2007a26c002fe3b0b009eb86d020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i92/a806570103a35ca2007a26c002fe3b0b009eb86d020701c1da00da0080.jpg;poiobject:C7D7F01306C0F00A1725A20432040531
Sports centre;49;52.243936;6.851102;;;The campus accommodates a large sports centre. Students and staff of the University of Twente practice a great variety of sports...;"The campus accommodates a
large sports centre. Students and staff of the University of Twente practice a great
variety of sports in this venue. A large number of (student) sports
associations use the sports centre for training and competition purposes.
Besides this the sports centre is used on behalf of events and (international)
sports tournaments. The centre includes a 25-metre swimming pool and two large
sports halls that are used for football and basketball, among other things. And
what to think of a dojo and four sports halls for badminton, volleyball,
fencing, table tennis, zumba and power yoga, to name a few.";Buildings;Sports;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iec/d31a810103ee046d00e8cbf403723b0b009a8dcd030701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i4f/46f5ab0103ee046d00e8cbf403723b0b009a8dcd030701c1da00da0080.jpg;
Swimming pool - Indoor;49;52.243936;6.851102;;;The indoor pool is suitable for training in swimming, water polo, underwater hockey and canoeing. There is a lifeguard loft as...;"The indoor pool is suitable
for training in swimming, water polo, underwater hockey and canoeing. There is
a lifeguard loft as well as an equipment room. In the hall way you'll find the
doors that lead to the dressing rooms.";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i2d/059d2d01036e5ea20030c30102fe3b0b004ddb6d020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i46/812ca401036e5ea20030c30102fe3b0b004ddb6d020701c1da00da0080.jpg;poiobject:C7D7F01306C0F00A1725A20432040531
"""Manegeveld""";;52.24391;6.847712;;;Manegeveld is a foodball field that is mainly used for training purposes. ;"Manegeveld is a foodball field that is mainly used
for training purposes. ";Sports;;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/iaa/3c140c010333076d002b452c04763b0b000d1a42020701c13c03000080.jpg;;http://campusapp.webhare-test.utsp.utwente.nl/.uc/i39/0fb61d010333076d002b452c04763b0b000d1a42020701c1da00da0080.jpg;
